,Unnamed: 0,Unnamed: 5,Star_name.1,Distance.1,Mass.1,Radius.1
0,0.0,,,,,
1,1.0,2.0,LHS 102BC,,,
2,2.0,,,,,
3,3.0,14.0,2MASS J00034227-2822410,,,
4,4.0,,,,,
5,5.0,31.0,2MASS J02511327+0047364,,,
6,6.0,,,,,
7,7.0,117.0,TWA 27A,,,
8,8.0,,,,,
9,9.0,118.0,TWA 27B,,,
10,10.0,,,,,
11,11.0,177.0,2MASS J14112131-2119503,,,
12,12.0,,,,,
13,13.0,26.0,2MASS J02103857-3015313,101,15,1.53
14,14.0,,,,,
15,15.0,129.0,2MASS J13204427+0409045,101,67,1.01
16,16.0,,,,,
17,17.0,194.0,WISE 0038+8405,101.8,,
18,18.0,,,,,
19,19.0,67.0,2MASS J06085283-2753583,102,38,1.51
20,20.0,,,,,
21,21.0,273.0,WISE 1147-2040,102,,
22,22.0,,,,,
23,23.0,140.0,CFBDSIR 1458+10A,104,11.1,1.5
24,24.0,,,,,
25,25.0,141.0,CFBDSIR 1458+10B,104,9,1.3
26,26.0,,,,,
27,27.0,168.0,2MASS J20004841-7523070,105,25,1.88
28,28.0,,,,,
29,29.0,215.0,WISE 0316+4307,106.3,,
30,30.0,,,,,
31,31.0,314.0,WISE 1830+4542,107,,
32,32.0,,,,,
33,33.0,99.0,2MASSI J1017075+130839 [de],108,,
34,34.0,,,,,
35,35.0,171.0,2MASSW J2101154+175658,108,,
36,36.0,,,,,
37,37.0,288.0,WISE 1506+7027,11.1,,
38,38.0,,,,,
39,39.0,157.0,2MASS J16262034+3925190 [de],110,71,1.03
40,40.0,,,,,
41,41.0,25.0,SDSS J020742.48+000056.2 [de],111,47,0.97
42,42.0,,,,,
43,43.0,350.0,WISEA 1101+5400,111,,
44,44.0,,,,,
45,45.0,174.0,HB 2124-4228,113,94,1.21
46,46.0,,,,,
47,47.0,161.0,2MASSI J1726000+153819,114,24,1.40
48,48.0,,,,,
49,49.0,124.0,2MASSW J1239272+551537 [de],119,,
50,50.0,,,,,
51,51.0,32.0,Teegarden's star,12.578,80,1.27
52,52.0,,,,,
53,53.0,351.0,2M1510,120,40 + 39 + ?,
54,54.0,,,,,
55,55.0,115.0,2MASS J11544223-3400390 [de],129,37,1.50
56,56.0,,,,,
57,57.0,104.0,DEN 1048-3956,13.15,77,1.07
58,58.0,,,,,
59,59.0,75.0,UGPS J072227.51-054031.2,13.4,26,0.98
60,60.0,,,,,
61,61.0,20.0,2MASS J01415823-4633574 [de],130,20,1.61
62,62.0,,,,,
63,63.0,48.0,DENIS-P J035726.9-441730 [de],130,,
64,64.0,,,,,
65,65.0,8.0,2MASS J00332386-1521309 [de],131,29,1.43
66,66.0,,,,,
67,67.0,315.0,WISE 1841+7000,131.1,,
68,68.0,,,,,
69,69.0,113.0,TWA 26,137,30,2.20
70,70.0,,,,,
71,71.0,166.0,2MASSW J1841086+311727,138,67,1.01
72,72.0,,,,,
73,73.0,53.0,2MASS J04362788-4114465,142,39,1.97
74,74.0,,,,,
75,75.0,198.0,WISE 0106+1518,142.9,,
76,76.0,,,,,
77,77.0,4.0,2MASS J00250365+4759191AB,143,,
78,78.0,,,,,
79,79.0,185.0,2MASS J23225299-6151275,148,17,1.59
80,80.0,,,,,
81,81.0,134.0,SDSS J141659.78+500626.4 [de],149,59,0.99
82,82.0,,,,,
83,83.0,28.0,2MASS J02411151-0326587 [de],152,27,1.41
84,84.0,,,,,
